department,state,rti_section,response_days
Southern Railway Headquarters,Tamil Nadu,Sec 6(1) General,37.8
Southern Railway Headquarters,Delhi,Sec 8(1)(j) Privacy,66.9
Tamil Nadu Police Headquarters,Karnataka,Sec 6(1) General,24.8
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Delhi,Sec 8(1)(j) Privacy,75.3
Greater Chennai Corporation,Delhi,Sec 8(1)(d) Commercial,74.0
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,64.9
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(d) Commercial,51.7
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(j) Privacy,51.5
Greater Chennai Corporation,Telangana,Sec 6(1) General,44.3
TANGEDCO (Electricity Board),Tamil Nadu,Sec 7(1) Life & Liberty,4.1
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,21.6
Greater Chennai Corporation,Maharashtra,Sec 6(1) General,32.9
Greater Chennai Corporation,Karnataka,Sec 7(1) Life & Liberty,3.8
Chennai Metro Water (CMWSSB),Delhi,Sec 7(1) Life & Liberty,4.8
Greater Chennai Corporation,Karnataka,Sec 8(1)(j) Privacy,63.3
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,70.7
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(j) Privacy,50.5
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,85.7
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,65.1
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,4.4
TANGEDCO (Electricity Board),Delhi,Sec 6(1) General,29.8
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(j) Privacy,77.4
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(j) Privacy,86.4
Employees Provident Fund Organisation (EPFO),Delhi,Sec 6(1) General,52.2
Reserve Bank of India (RBI),Telangana,Sec 8(1)(j) Privacy,42.1
Greater Chennai Corporation,Maharashtra,Sec 6(1) General,59.8
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 6(1) General,30.2
TANGEDCO (Electricity Board),Maharashtra,Sec 7(1) Life & Liberty,7.4
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(d) Commercial,88.6
Employees Provident Fund Organisation (EPFO),Telangana,Sec 7(1) Life & Liberty,2.0
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(d) Commercial,53.4
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(d) Commercial,51.6
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(d) Commercial,62.7
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(j) Privacy,49.0
Greater Chennai Corporation,Tamil Nadu,Sec 7(1) Life & Liberty,3.3
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(d) Commercial,54.8
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,27.2
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(j) Privacy,57.2
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 7(1) Life & Liberty,2.8
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(d) Commercial,58.0
Chennai Metro Water (CMWSSB),Delhi,Sec 6(1) General,31.6
Chennai Metro Water (CMWSSB),Delhi,Sec 7(1) Life & Liberty,4.9
Tamil Nadu Police Headquarters,Maharashtra,Sec 7(1) Life & Liberty,11.9
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(j) Privacy,68.1
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,5.7
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(j) Privacy,59.5
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(d) Commercial,45.4
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,78.9
Greater Chennai Corporation,Telangana,Sec 6(1) General,34.7
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(j) Privacy,42.7
TANGEDCO (Electricity Board),Karnataka,Sec 6(1) General,26.0
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(j) Privacy,51.9
Tamil Nadu Police Headquarters,Maharashtra,Sec 7(1) Life & Liberty,2.6
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(d) Commercial,57.3
Reserve Bank of India (RBI),Delhi,Sec 6(1) General,25.7
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,59.5
Greater Chennai Corporation,Karnataka,Sec 8(1)(j) Privacy,77.5
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,56.1
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,10.5
Greater Chennai Corporation,Tamil Nadu,Sec 7(1) Life & Liberty,3.5
Chennai Metro Water (CMWSSB),Maharashtra,Sec 6(1) General,34.7
Reserve Bank of India (RBI),Delhi,Sec 6(1) General,19.5
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 7(1) Life & Liberty,4.6
Greater Chennai Corporation,Maharashtra,Sec 6(1) General,34.5
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(d) Commercial,88.1
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(d) Commercial,48.3
Greater Chennai Corporation,Karnataka,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Delhi,Sec 6(1) General,51.9
Greater Chennai Corporation,Delhi,Sec 8(1)(j) Privacy,71.6
Southern Railway Headquarters,Karnataka,Sec 8(1)(d) Commercial,75.0
Greater Chennai Corporation,Telangana,Sec 7(1) Life & Liberty,2.5
Chennai Metro Water (CMWSSB),Karnataka,Sec 6(1) General,30.3
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,2.3
Reserve Bank of India (RBI),Delhi,Sec 8(1)(j) Privacy,47.5
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(d) Commercial,44.9
Greater Chennai Corporation,Delhi,Sec 7(1) Life & Liberty,3.4
Tamil Nadu Police Headquarters,Delhi,Sec 7(1) Life & Liberty,5.7
Greater Chennai Corporation,Maharashtra,Sec 7(1) Life & Liberty,10.4
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,50.4
Chennai Metro Water (CMWSSB),Maharashtra,Sec 7(1) Life & Liberty,7.2
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,42.2
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,75.2
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(j) Privacy,51.8
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(d) Commercial,56.8
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(d) Commercial,44.6
Tamil Nadu Police Headquarters,Telangana,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 7(1) Life & Liberty,4.6
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(d) Commercial,60.1
Greater Chennai Corporation,Telangana,Sec 6(1) General,48.0
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(d) Commercial,59.6
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(j) Privacy,49.9
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(d) Commercial,76.8
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(j) Privacy,70.6
Chennai Metro Water (CMWSSB),Delhi,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,30.1
Chennai Metro Water (CMWSSB),Delhi,Sec 7(1) Life & Liberty,3.9
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(j) Privacy,69.3
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(j) Privacy,47.4
Greater Chennai Corporation,Karnataka,Sec 8(1)(j) Privacy,77.4
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 6(1) General,29.6
Reserve Bank of India (RBI),Telangana,Sec 8(1)(d) Commercial,48.1
Employees Provident Fund Organisation (EPFO),Telangana,Sec 7(1) Life & Liberty,5.9
Employees Provident Fund Organisation (EPFO),Delhi,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(d) Commercial,36.6
Southern Railway Headquarters,Delhi,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 6(1) General,53.0
Tamil Nadu Police Headquarters,Telangana,Sec 7(1) Life & Liberty,2.9
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(j) Privacy,53.4
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(d) Commercial,51.7
Reserve Bank of India (RBI),Tamil Nadu,Sec 6(1) General,21.3
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(d) Commercial,58.1
Reserve Bank of India (RBI),Karnataka,Sec 6(1) General,23.2
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(j) Privacy,49.8
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(d) Commercial,42.8
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 7(1) Life & Liberty,4.3
Southern Railway Headquarters,Tamil Nadu,Sec 6(1) General,38.5
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(d) Commercial,54.2
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Maharashtra,Sec 8(1)(d) Commercial,61.4
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(d) Commercial,55.5
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(d) Commercial,82.2
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 6(1) General,30.8
Southern Railway Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,11.6
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,50.2
Chennai Metro Water (CMWSSB),Telangana,Sec 6(1) General,35.6
Chennai Metro Water (CMWSSB),Telangana,Sec 6(1) General,21.8
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,33.3
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(j) Privacy,51.1
TANGEDCO (Electricity Board),Karnataka,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Delhi,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,2.0
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(d) Commercial,56.8
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(d) Commercial,47.7
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(d) Commercial,64.3
Reserve Bank of India (RBI),Maharashtra,Sec 8(1)(j) Privacy,45.7
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(d) Commercial,60.2
Southern Railway Headquarters,Karnataka,Sec 8(1)(j) Privacy,72.5
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,2.6
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(d) Commercial,73.3
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(d) Commercial,59.6
Chennai Metro Water (CMWSSB),Karnataka,Sec 6(1) General,30.1
Greater Chennai Corporation,Karnataka,Sec 8(1)(j) Privacy,77.8
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,4.1
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 6(1) General,51.8
Tamil Nadu Police Headquarters,Karnataka,Sec 6(1) General,30.6
Tamil Nadu Police Headquarters,Telangana,Sec 7(1) Life & Liberty,3.8
Chennai Metro Water (CMWSSB),Telangana,Sec 6(1) General,27.7
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(j) Privacy,58.2
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(j) Privacy,56.7
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(d) Commercial,54.6
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 6(1) General,30.5
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(d) Commercial,61.3
TANGEDCO (Electricity Board),Maharashtra,Sec 6(1) General,34.8
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,48.1
Reserve Bank of India (RBI),Delhi,Sec 8(1)(j) Privacy,43.1
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,76.6
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 6(1) General,31.3
Reserve Bank of India (RBI),Tamil Nadu,Sec 8(1)(j) Privacy,60.8
Tamil Nadu Police Headquarters,Karnataka,Sec 6(1) General,20.0
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,47.4
Greater Chennai Corporation,Delhi,Sec 6(1) General,50.6
Greater Chennai Corporation,Delhi,Sec 8(1)(d) Commercial,63.2
Reserve Bank of India (RBI),Tamil Nadu,Sec 6(1) General,18.2
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,69.2
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,40.1
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(d) Commercial,66.4
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(j) Privacy,51.6
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(j) Privacy,50.7
Reserve Bank of India (RBI),Tamil Nadu,Sec 8(1)(d) Commercial,42.5
Tamil Nadu Police Headquarters,Maharashtra,Sec 6(1) General,27.2
Chennai Metro Water (CMWSSB),Maharashtra,Sec 6(1) General,28.8
Chennai Metro Water (CMWSSB),Karnataka,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Tamil Nadu,Sec 6(1) General,49.6
Reserve Bank of India (RBI),Maharashtra,Sec 7(1) Life & Liberty,9.1
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,31.9
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 6(1) General,23.0
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(j) Privacy,77.2
Greater Chennai Corporation,Telangana,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,23.9
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,5.3
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(j) Privacy,51.5
Southern Railway Headquarters,Maharashtra,Sec 8(1)(j) Privacy,53.5
Reserve Bank of India (RBI),Maharashtra,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Maharashtra,Sec 8(1)(j) Privacy,61.0
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(d) Commercial,53.1
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(d) Commercial,76.6
Greater Chennai Corporation,Maharashtra,Sec 8(1)(j) Privacy,67.2
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(d) Commercial,61.0
Greater Chennai Corporation,Karnataka,Sec 6(1) General,46.0
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Delhi,Sec 6(1) General,48.8
Greater Chennai Corporation,Telangana,Sec 7(1) Life & Liberty,6.9
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(j) Privacy,46.7
Tamil Nadu Police Headquarters,Delhi,Sec 6(1) General,33.0
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,60.0
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,60.9
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 7(1) Life & Liberty,10.0
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,3.5
Tamil Nadu Police Headquarters,Maharashtra,Sec 6(1) General,32.3
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(d) Commercial,51.3
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Delhi,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,27.5
Reserve Bank of India (RBI),Karnataka,Sec 7(1) Life & Liberty,3.6
Reserve Bank of India (RBI),Karnataka,Sec 6(1) General,8.2
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(j) Privacy,56.2
Tamil Nadu Police Headquarters,Maharashtra,Sec 7(1) Life & Liberty,5.4
TANGEDCO (Electricity Board),Delhi,Sec 7(1) Life & Liberty,4.6
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(j) Privacy,61.5
Southern Railway Headquarters,Karnataka,Sec 8(1)(j) Privacy,76.2
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(j) Privacy,52.6
Reserve Bank of India (RBI),Delhi,Sec 7(1) Life & Liberty,6.5
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(d) Commercial,48.0
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(d) Commercial,52.7
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(d) Commercial,54.4
Southern Railway Headquarters,Telangana,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Tamil Nadu,Sec 8(1)(j) Privacy,37.6
Chennai Metro Water (CMWSSB),Telangana,Sec 7(1) Life & Liberty,2.6
Greater Chennai Corporation,Delhi,Sec 8(1)(j) Privacy,68.7
Greater Chennai Corporation,Maharashtra,Sec 7(1) Life & Liberty,3.6
Chennai Metro Water (CMWSSB),Delhi,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,52.7
Southern Railway Headquarters,Telangana,Sec 8(1)(d) Commercial,68.2
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(j) Privacy,62.4
Tamil Nadu Police Headquarters,Telangana,Sec 6(1) General,21.5
Tamil Nadu Police Headquarters,Delhi,Sec 6(1) General,29.6
Greater Chennai Corporation,Karnataka,Sec 8(1)(j) Privacy,75.6
TANGEDCO (Electricity Board),Maharashtra,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Maharashtra,Sec 6(1) General,33.7
Greater Chennai Corporation,Delhi,Sec 6(1) General,38.2
TANGEDCO (Electricity Board),Telangana,Sec 7(1) Life & Liberty,7.4
TANGEDCO (Electricity Board),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(d) Commercial,74.5
Tamil Nadu Police Headquarters,Delhi,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,43.4
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(j) Privacy,46.6
Reserve Bank of India (RBI),Delhi,Sec 8(1)(d) Commercial,46.8
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,26.8
Chennai Metro Water (CMWSSB),Telangana,Sec 6(1) General,24.6
Tamil Nadu Police Headquarters,Telangana,Sec 7(1) Life & Liberty,2.7
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(j) Privacy,49.6
Southern Railway Headquarters,Karnataka,Sec 6(1) General,30.9
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(d) Commercial,49.7
Reserve Bank of India (RBI),Telangana,Sec 8(1)(d) Commercial,40.7
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(j) Privacy,53.1
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 8(1)(d) Commercial,46.7
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(d) Commercial,53.4
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,83.4
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 7(1) Life & Liberty,5.4
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(d) Commercial,49.4
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Karnataka,Sec 7(1) Life & Liberty,7.3
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(d) Commercial,59.6
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,9.3
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(d) Commercial,101.1
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 6(1) General,27.5
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(j) Privacy,56.5
Reserve Bank of India (RBI),Maharashtra,Sec 8(1)(j) Privacy,49.2
Tamil Nadu Police Headquarters,Telangana,Sec 7(1) Life & Liberty,4.7
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 7(1) Life & Liberty,5.7
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,51.3
Chennai Metro Water (CMWSSB),Maharashtra,Sec 6(1) General,31.8
TANGEDCO (Electricity Board),Karnataka,Sec 6(1) General,35.2
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,46.2
TANGEDCO (Electricity Board),Delhi,Sec 6(1) General,33.6
Chennai Metro Water (CMWSSB),Delhi,Sec 8(1)(j) Privacy,56.7
Chennai Metro Water (CMWSSB),Maharashtra,Sec 6(1) General,29.8
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(d) Commercial,50.5
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(d) Commercial,56.8
Greater Chennai Corporation,Delhi,Sec 8(1)(j) Privacy,68.3
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,27.4
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 6(1) General,21.5
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,60.3
Reserve Bank of India (RBI),Delhi,Sec 8(1)(d) Commercial,40.9
Reserve Bank of India (RBI),Maharashtra,Sec 6(1) General,20.7
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 6(1) General,37.6
Tamil Nadu Police Headquarters,Maharashtra,Sec 7(1) Life & Liberty,7.0
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Maharashtra,Sec 6(1) General,41.3
Chennai Metro Water (CMWSSB),Telangana,Sec 6(1) General,31.3
Employees Provident Fund Organisation (EPFO),Telangana,Sec 6(1) General,47.9
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,20.0
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(j) Privacy,42.3
Chennai Metro Water (CMWSSB),Karnataka,Sec 6(1) General,34.2
TANGEDCO (Electricity Board),Telangana,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Tamil Nadu,Sec 8(1)(d) Commercial,68.9
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(j) Privacy,75.6
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 6(1) General,49.0
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(d) Commercial,73.5
Southern Railway Headquarters,Delhi,Sec 8(1)(j) Privacy,58.6
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(d) Commercial,53.5
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 6(1) General,45.2
TANGEDCO (Electricity Board),Karnataka,Sec 6(1) General,26.8
Tamil Nadu Police Headquarters,Maharashtra,Sec 7(1) Life & Liberty,2.5
Employees Provident Fund Organisation (EPFO),Delhi,Sec 6(1) General,54.4
Greater Chennai Corporation,Telangana,Sec 6(1) General,56.7
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(j) Privacy,43.1
TANGEDCO (Electricity Board),Tamil Nadu,Sec 7(1) Life & Liberty,6.8
Greater Chennai Corporation,Karnataka,Sec 8(1)(j) Privacy,63.0
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(d) Commercial,86.1
Greater Chennai Corporation,Telangana,Sec 6(1) General,43.0
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(d) Commercial,50.7
Greater Chennai Corporation,Maharashtra,Sec 8(1)(j) Privacy,55.3
TANGEDCO (Electricity Board),Delhi,Sec 6(1) General,35.4
TANGEDCO (Electricity Board),Maharashtra,Sec 6(1) General,34.7
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(j) Privacy,55.5
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(j) Privacy,50.4
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(j) Privacy,61.1
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(j) Privacy,71.3
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(j) Privacy,46.4
Southern Railway Headquarters,Telangana,Sec 6(1) General,40.7
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,45.3
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,22.1
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 6(1) General,28.4
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(j) Privacy,45.7
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,50.5
TANGEDCO (Electricity Board),Karnataka,Sec 7(1) Life & Liberty,9.6
Tamil Nadu Police Headquarters,Karnataka,Sec 6(1) General,33.1
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(j) Privacy,41.3
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(j) Privacy,83.3
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(j) Privacy,52.1
Tamil Nadu Police Headquarters,Telangana,Sec 7(1) Life & Liberty,7.3
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,7.0
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(d) Commercial,62.8
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 6(1) General,34.5
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,66.9
Greater Chennai Corporation,Karnataka,Sec 8(1)(j) Privacy,70.5
Chennai Metro Water (CMWSSB),Karnataka,Sec 7(1) Life & Liberty,5.8
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,14.2
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(d) Commercial,53.4
Reserve Bank of India (RBI),Telangana,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(j) Privacy,54.8
Greater Chennai Corporation,Maharashtra,Sec 7(1) Life & Liberty,10.9
Greater Chennai Corporation,Maharashtra,Sec 8(1)(d) Commercial,70.9
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 8(1)(j) Privacy,68.3
Southern Railway Headquarters,Telangana,Sec 8(1)(d) Commercial,65.0
Greater Chennai Corporation,Karnataka,Sec 7(1) Life & Liberty,7.0
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(d) Commercial,59.0
